product_group,n,share
Credit reporting,19547,0.64590423950038
Debt collection,5115,0.16901827313881637
Credit card/prepaid,2368,0.07824736476885967
Bank account,1858,0.061395102930971814
Student loan,799,0.026401876879357633
Vehicle loan/lease,515,0.017017480091200476
Mortgage,38,0.0012556587251759575
Money transfer,12,0.00039652380795030234
Consumer loan,10,0.000330436506625252
Other,1,3.30436506625252e-05
