complaint_month,n,any_relief_rate,monetary_relief_rate,non_monetary_relief_rate,timely_rate,mean_words,template_phrase_rate
2015-03,19,0.15789473684210525,0.0,0.15789473684210525,0.8947368421052632,100.42105263157895,0.0
2015-04,33,0.2727272727272727,0.06060606060606061,0.21212121212121213,0.9375,172.3939393939394,0.030303030303030304
2015-05,37,0.1891891891891892,0.05405405405405406,0.13513513513513514,0.8918918918918919,157.72972972972974,0.02702702702702703
2015-06,35,0.11428571428571428,0.0,0.11428571428571428,0.9142857142857143,172.71428571428572,0.08571428571428572
2015-07,29,0.20689655172413793,0.034482758620689655,0.1724137931034483,0.7931034482758621,175.44827586206895,0.034482758620689655
2015-08,36,0.19444444444444445,0.0,0.19444444444444445,0.8571428571428571,170.33333333333334,0.0
2015-09,27,0.07407407407407407,0.0,0.07407407407407407,0.9259259259259259,144.1851851851852,0.037037037037037035
2015-10,22,0.13636363636363635,0.0,0.13636363636363635,1.0,131.0909090909091,0.0
2015-11,17,0.17647058823529413,0.0,0.17647058823529413,0.9411764705882353,136.41176470588235,0.0
2015-12,32,0.21875,0.03125,0.1875,0.9354838709677419,154.3125,0.0625
2016-01,37,0.1891891891891892,0.0,0.1891891891891892,0.918918918918919,142.51351351351352,0.02702702702702703
2016-02,37,0.13513513513513514,0.0,0.13513513513513514,1.0,123.43243243243244,0.0
2016-03,51,0.17647058823529413,0.0,0.17647058823529413,0.8979591836734694,147.72549019607843,0.0196078431372549
2016-04,31,0.1935483870967742,0.03225806451612903,0.16129032258064516,0.8709677419354839,158.58064516129033,0.0
2016-05,37,0.2702702702702703,0.0,0.2702702702702703,0.918918918918919,145.59459459459458,0.0
2016-06,39,0.10256410256410256,0.0,0.10256410256410256,0.9230769230769231,175.92307692307693,0.10256410256410256
2016-07,40,0.225,0.0,0.225,0.9743589743589743,152.125,0.025
2016-08,60,0.16666666666666666,0.03333333333333333,0.13333333333333333,0.8983050847457628,153.46666666666667,0.016666666666666666
2016-09,42,0.11904761904761904,0.023809523809523808,0.09523809523809523,0.9,168.61904761904762,0.023809523809523808
2016-10,40,0.1,0.025,0.075,0.9230769230769231,168.325,0.025
2016-11,38,0.18421052631578946,0.0,0.18421052631578946,0.918918918918919,114.71052631578948,0.0
2016-12,24,0.125,0.0,0.125,0.9583333333333334,127.125,0.0
2017-01,93,0.053763440860215055,0.0,0.053763440860215055,0.978494623655914,173.96774193548387,0.010752688172043012
2017-02,53,0.16981132075471697,0.0,0.16981132075471697,0.9019607843137255,157.88679245283018,0.0
2017-03,66,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.8636363636363636,152.06060606060606,0.06060606060606061
2017-04,91,0.08791208791208792,0.02197802197802198,0.06593406593406594,0.9555555555555556,237.65934065934067,0.0989010989010989
2017-05,180,0.15555555555555556,0.03888888888888889,0.11666666666666667,0.9661016949152542,203.5888888888889,0.06111111111111111
2017-06,186,0.16666666666666666,0.053763440860215055,0.11290322580645161,0.9783783783783784,182.08064516129033,0.053763440860215055
2017-07,197,0.18274111675126903,0.025380710659898477,0.15736040609137056,0.9847715736040609,211.45685279187816,0.04060913705583756
2017-08,209,0.19617224880382775,0.03827751196172249,0.15789473684210525,0.9665071770334929,259.30143540669854,0.04784688995215311
2017-09,254,0.13385826771653545,0.027559055118110236,0.1062992125984252,0.9881422924901185,160.4015748031496,0.05905511811023622
2017-10,178,0.20786516853932585,0.06741573033707865,0.1404494382022472,0.9772727272727273,180.54494382022472,0.07865168539325842
2017-11,156,0.14102564102564102,0.02564102564102564,0.11538461538461539,0.9358974358974359,201.26923076923077,0.02564102564102564
2017-12,182,0.14285714285714285,0.038461538461538464,0.1043956043956044,0.9725274725274725,162.1043956043956,0.07142857142857142
2018-01,188,0.14361702127659576,0.06382978723404255,0.0797872340425532,0.9786096256684492,158.75,0.047872340425531915
2018-02,220,0.22272727272727272,0.05454545454545454,0.16818181818181818,0.9680365296803652,177.9090909090909,0.02727272727272727
2018-03,218,0.1834862385321101,0.03669724770642202,0.14678899082568808,0.981651376146789,164.38990825688074,0.03211009174311927
2018-04,217,0.17972350230414746,0.03686635944700461,0.14285714285714285,0.985981308411215,171.27649769585253,0.08755760368663594
